,text,label,matches
0,"['of', 'them', ';', 'so', 'here', 'goes', 'Flask', 'aloft', 'to', 'spy', ""'em"", 'out', '.', ""''"", '``', 'Shall', 'I', 'call', 'that', 'wise', 'or', 'foolish', ',', 'now', ';', 'if', 'it', 'be', 'really', 'wise', 'it', 'has', 'a', 'foolish', 'look', 'to', 'it', ';', 'yet', ',', 'if', 'it', 'be', 'really', 'foolish', ',', 'then', 'has', 'it', 'a', 'sort', 'of', 'wiseish', 'look', 'to', 'it', '.', 'But', ',', 'avast', ';', 'here', 'comes', 'our', 'old', 'Manxman', '--', 'the', 'old', 'hearse-driver', ',', 'he', 'must', 'have', 'been', ',', 'that', 'is', ',', 'before', 'he', 'took', 'to', 'the', 'sea', '.', 'He', 'luffs', 'up', 'before', 'the', 'doubloon', ';', 'halloa', ',', 'and', 'goes', 'round', 'on', 'the']",a,[]
1,"['Vishnoo', '!', 'there', ""'s"", 'a', 'member-roll', 'for', 'you', '!', 'What', 'club', 'but', 'the', 'whaleman', ""'s"", 'can', 'head', 'off', 'like', 'that', '?', 'CHAPTER', '83', 'Jonah', 'Historically', 'Regarded', '.', 'Reference', 'was', 'made', 'to', 'the', 'historical', 'story', 'of', 'Jonah', 'and', 'the', 'whale', 'in', 'the', 'preceding', 'chapter', '.', 'Now', 'some', 'Nantucketers', 'rather', 'distrust', 'this', 'historical', 'story', 'of', 'Jonah', 'and', 'the', 'whale', '.', 'But', 'then', 'there', 'were', 'some', 'sceptical', 'Greeks', 'and', 'Romans', ',', 'who', ',', 'standing', 'out', 'from', 'the', 'orthodox', 'pagans', 'of', 'their', 'times', ',', 'equally', 'doubted', 'the', 'story', 'of', 'Hercules', 'and', 'the', 'whale', ',', 'and', 'Arion', 'and', 'the', 'dolphin', ';', 'and', 'yet', 'their', 'doubting']",a,[]
2,"[',', 'by', 'inference', ',', 'you', 'will', 'derive', 'the', 'cause', 'of', 'that', 'peculiarity', 'of', 'sea-life', 'just', 'mentioned', '.', 'Over', 'his', 'ivory-inlaid', 'table', ',', 'Ahab', 'presided', 'like', 'a', 'mute', ',', 'maned', 'sea-lion', 'on', 'the', 'white', 'coral', 'beach', ',', 'surrounded', 'by', 'his', 'warlike', 'but', 'still', 'deferential', 'cubs', '.', 'In', 'his', 'own', 'proper', 'turn', ',', 'each', 'officer', 'waited', 'to', 'be', 'served', '.', 'They', 'were', 'as', 'little', 'children', 'before', 'Ahab', ';', 'and', 'yet', ',', 'in', 'Ahab', ',', 'there', 'seemed', 'not', 'to', 'lurk', 'the', 'smallest', 'social', 'arrogance', '.', 'With', 'one', 'mind', ',', 'their', 'intent', 'eyes', 'all', 'fastened', 'upon', 'the', 'old', 'man', ""'s"", 'knife', ',', 'as', 'he']",a,[]
3,"['.', 'Damn', 'me', ',', 'but', 'all', 'things', 'are', 'queer', ',', 'come', 'to', 'think', 'of', ""'em"", '.', 'But', 'that', ""'s"", 'against', 'my', 'principles', '.', 'Think', 'not', ',', 'is', 'my', 'eleventh', 'commandment', ';', 'and', 'sleep', 'when', 'you', 'can', ',', 'is', 'my', 'twelfth', '--', 'So', 'here', 'goes', 'again', '.', 'But', 'how', ""'s"", 'that', '?', 'did', ""n't"", 'he', 'call', 'me', 'a', 'dog', '?', 'blazes', '!', 'he', 'called', 'me', 'ten', 'times', 'a', 'donkey', ',', 'and', 'piled', 'a', 'lot', 'of', 'jackasses', 'on', 'top', 'of', 'THAT', '!', 'He', 'might', 'as', 'well', 'have', 'kicked', 'me', ',', 'and', 'done', 'with', 'it', '.', 'Maybe', 'he', 'DID', 'kick', 'me', ',', 'and']",a,[]
4,"['and', 'then', 'concluded', 'by', 'roaring', 'back', 'into', 'his', 'wigwam', '.', 'During', 'these', 'days', 'of', 'preparation', ',', 'Queequeg', 'and', 'I', 'often', 'visited', 'the', 'craft', ',', 'and', 'as', 'often', 'I', 'asked', 'about', 'Captain', 'Ahab', ',', 'and', 'how', 'he', 'was', ',', 'and', 'when', 'he', 'was', 'going', 'to', 'come', 'on', 'board', 'his', 'ship', '.', 'To', 'these', 'questions', 'they', 'would', 'answer', ',', 'that', 'he', 'was', 'getting', 'better', 'and', 'better', ',', 'and', 'was', 'expected', 'aboard', 'every', 'day', ';', 'meantime', ',', 'the', 'two', 'captains', ',', 'Peleg', 'and', 'Bildad', ',', 'could', 'attend', 'to', 'everything', 'necessary', 'to', 'fit', 'the', 'vessel', 'for', 'the', 'voyage', '.', 'If', 'I', 'had', 'been', 'downright']",a,[]
5,"['``', 'Pooh', '!', 'Stubb', ',', 'you', 'are', 'skylarking', ';', 'how', 'can', 'Fedallah', 'do', 'that', '?', ""''"", '``', 'I', 'do', ""n't"", 'know', ',', 'Flask', ',', 'but', 'the', 'devil', 'is', 'a', 'curious', 'chap', ',', 'and', 'a', 'wicked', 'one', ',', 'I', 'tell', 'ye', '.', 'Why', ',', 'they', 'say', 'as', 'how', 'he', 'went', 'a', 'sauntering', 'into', 'the', 'old', 'flag-ship', 'once', ',', 'switching', 'his', 'tail', 'about', 'devilish', 'easy', 'and', 'gentlemanlike', ',', 'and', 'inquiring', 'if', 'the', 'old', 'governor', 'was', 'at', 'home', '.', 'Well', ',', 'he', 'was', 'at', 'home', ',', 'and', 'asked', 'the', 'devil', 'what', 'he', 'wanted', '.', 'The', 'devil', ',', 'switching', 'his', 'hoofs', ',', 'up', 'and']",a,[]
6,"['without', 'a', 'scorch', '.', ""''"", '``', 'Because', 'I', 'am', 'scorched', 'all', 'over', ',', 'Captain', 'Ahab', ',', ""''"", 'answered', 'Perth', ',', 'resting', 'for', 'a', 'moment', 'on', 'his', 'hammer', ';', '``', 'I', 'am', 'past', 'scorching', ';', 'not', 'easily', ""can'st"", 'thou', 'scorch', 'a', 'scar', '.', ""''"", '``', 'Well', ',', 'well', ';', 'no', 'more', '.', 'Thy', 'shrunk', 'voice', 'sounds', 'too', 'calmly', ',', 'sanely', 'woeful', 'to', 'me', '.', 'In', 'no', 'Paradise', 'myself', ',', 'I', 'am', 'impatient', 'of', 'all', 'misery', 'in', 'others', 'that', 'is', 'not', 'mad', '.', 'Thou', ""should'st"", 'go', 'mad', ',', 'blacksmith', ';', 'say', ',', 'why', 'dost', 'thou', 'not', 'go', 'mad', '?', 'How', ""can'st"", 'thou']",a,[]
7,"['a', 'burden', 'as', 'that', ',', 'even', 'by', 'the', 'immense', 'tackles', 'of', 'a', 'whaler', ',', 'this', 'were', 'as', 'vain', 'a', 'thing', 'as', 'to', 'attempt', 'weighing', 'a', 'Dutch', 'barn', 'in', 'jewellers', ""'"", 'scales', '.', 'The', 'Pequod', ""'s"", 'whale', 'being', 'decapitated', 'and', 'the', 'body', 'stripped', ',', 'the', 'head', 'was', 'hoisted', 'against', 'the', 'ship', ""'s"", 'side', '--', 'about', 'half', 'way', 'out', 'of', 'the', 'sea', ',', 'so', 'that', 'it', 'might', 'yet', 'in', 'great', 'part', 'be', 'buoyed', 'up', 'by', 'its', 'native', 'element', '.', 'And', 'there', 'with', 'the', 'strained', 'craft', 'steeply', 'leaning', 'over', 'to', 'it', ',', 'by', 'reason', 'of', 'the', 'enormous', 'downward', 'drag', 'from', 'the', 'lower', 'mast-head']",a,[]
8,"['I', 'was', 'watching', 'to', 'see', 'where', 'he', 'kept', 'his', 'razor', ',', 'when', 'lo', 'and', 'behold', ',', 'he', 'takes', 'the', 'harpoon', 'from', 'the', 'bed', 'corner', ',', 'slips', 'out', 'the', 'long', 'wooden', 'stock', ',', 'unsheathes', 'the', 'head', ',', 'whets', 'it', 'a', 'little', 'on', 'his', 'boot', ',', 'and', 'striding', 'up', 'to', 'the', 'bit', 'of', 'mirror', 'against', 'the', 'wall', ',', 'begins', 'a', 'vigorous', 'scraping', ',', 'or', 'rather', 'harpooning', 'of', 'his', 'cheeks', '.', 'Thinks', 'I', ',', 'Queequeg', ',', 'this', 'is', 'using', 'Rogers', ""'s"", 'best', 'cutlery', 'with', 'a', 'vengeance', '.', 'Afterwards', 'I', 'wondered', 'the', 'less', 'at', 'this', 'operation', 'when', 'I', 'came', 'to', 'know', 'of', 'what', 'fine']",a,[]
9,"[';', 'I', 'am', 'in', 'earnest', ';', 'and', 'I', 'will', 'try', '.', 'There', 'are', 'some', 'preliminaries', 'to', 'settle', '.', 'First', ':', 'The', 'uncertain', ',', 'unsettled', 'condition', 'of', 'this', 'science', 'of', 'Cetology', 'is', 'in', 'the', 'very', 'vestibule', 'attested', 'by', 'the', 'fact', ',', 'that', 'in', 'some', 'quarters', 'it', 'still', 'remains', 'a', 'moot', 'point', 'whether', 'a', 'whale', 'be', 'a', 'fish', '.', 'In', 'his', 'System', 'of', 'Nature', ',', 'A.D.', '1776', ',', 'Linnaeus', 'declares', ',', '``', 'I', 'hereby', 'separate', 'the', 'whales', 'from', 'the', 'fish', '.', ""''"", 'But', 'of', 'my', 'own', 'knowledge', ',', 'I', 'know', 'that', 'down', 'to', 'the', 'year', '1850', ',', 'sharks', 'and', 'shad', ',', 'alewives']",a,[]
